user,knob,windows,span_days,changes,changes_per_6mo,median_abs_delta,path,net,path_over_net,material,after_deadband,after_deadband_per_6mo,window,step,lag_days
C,aggression,6,84,5,10.863095238095237,0.07999999999999996,0.3899999999999999,0.07000000000000006,5.571428571428565,5,5,10.863095238095237,14,14,14.0
C,hypoCaution,6,84,5,10.863095238095237,0.10000000000000009,1.0000000000000002,0.5999999999999999,1.6666666666666674,0,2,4.345238095238095,14,14,14.0
C,confirmedCap,6,84,5,10.863095238095237,1.4,8.950000000000001,4.550000000000001,1.967032967032967,3,4,8.69047619047619,14,14,14.0
C,committedCap,6,84,4,8.69047619047619,0.05499999999999999,0.27,0.050000000000000044,5.399999999999996,2,2,4.345238095238095,14,14,14.0
C,cumulative60,6,84,4,8.69047619047619,1.9,9.4,4.6,2.0434782608695654,2,4,8.69047619047619,14,14,14.0
C,primerCap,6,84,4,8.69047619047619,0.03999999999999998,0.22999999999999995,0.15,1.533333333333333,1,1,2.1726190476190474,14,14,14.0
D,aggression,3,42,1,4.345238095238095,0.07000000000000006,0.07000000000000006,0.07000000000000006,1.0,0,1,4.345238095238095,14,14,14.0
D,hypoCaution,3,42,2,8.69047619047619,0.4,0.8,0.8,1.0,1,2,8.69047619047619,14,14,14.0
D,confirmedCap,3,42,0,0.0,0.0,0.0,0.0,,0,0,0.0,14,14,14.0
D,committedCap,3,42,2,8.69047619047619,0.050000000000000044,0.10000000000000009,0.020000000000000018,5.0,1,0,0.0,14,14,14.0
D,cumulative60,3,42,1,4.345238095238095,0.09999999999999964,0.09999999999999964,0.09999999999999964,1.0,0,0,0.0,14,14,14.0
D,primerCap,3,42,2,8.69047619047619,0.095,0.19,0.19,1.0,1,1,4.345238095238095,14,14,14.0
E,aggression,11,154,0,0.0,0.0,0.0,0.0,,0,0,0.0,14,14,14.0
E,hypoCaution,11,154,0,0.0,0.0,0.0,0.0,,0,0,0.0,14,14,14.0
E,confirmedCap,11,154,10,11.85064935064935,0.15000000000000036,2.000000000000001,0.54,3.703703703703705,1,0,0.0,14,14,14.0
E,committedCap,11,154,10,11.85064935064935,0.020000000000000018,0.52,0.19999999999999996,2.6000000000000005,4,3,3.5551948051948052,14,14,14.0
E,cumulative60,11,154,10,11.85064935064935,0.1499999999999999,2.4999999999999982,0.9000000000000004,2.7777777777777746,2,2,2.3701298701298703,14,14,14.0
E,primerCap,11,154,9,10.665584415584416,0.010000000000000009,0.24,0.09999999999999998,2.4000000000000004,3,2,2.3701298701298703,14,14,14.0
F,aggression,11,154,2,2.3701298701298703,0.07999999999999996,0.15999999999999992,0.0,,2,2,2.3701298701298703,14,14,14.0
F,hypoCaution,11,154,2,2.3701298701298703,0.3999999999999999,0.7999999999999998,0.0,,1,2,2.3701298701298703,14,14,14.0
F,confirmedCap,11,154,7,8.295454545454545,0.75,6.27,1.4299999999999997,4.384615384615385,6,5,5.925324675324675,14,14,14.0
F,committedCap,11,154,9,10.665584415584416,0.05999999999999994,0.6700000000000002,0.030000000000000027,22.333333333333318,5,4,4.740259740259741,14,14,14.0
F,cumulative60,11,154,10,11.85064935064935,0.4500000000000002,7.699999999999999,1.5,5.133333333333333,7,4,4.740259740259741,14,14,14.0
F,primerCap,11,154,8,9.480519480519481,0.040000000000000036,0.3500000000000001,0.10999999999999999,3.181818181818183,3,3,3.5551948051948052,14,14,14.0
H,aggression,4,56,0,0.0,0.0,0.0,0.0,,0,0,0.0,14,14,14.0
H,hypoCaution,4,56,0,0.0,0.0,0.0,0.0,,0,0,0.0,14,14,14.0
H,confirmedCap,4,56,1,3.258928571428571,1.4000000000000004,1.4000000000000004,1.4000000000000004,1.0,1,1,3.258928571428571,14,14,14.0
H,committedCap,4,56,3,9.776785714285714,0.18999999999999995,0.42000000000000004,0.4,1.05,1,2,6.517857142857142,14,14,14.0
H,cumulative60,4,56,2,6.517857142857142,1.1,2.2,2.2,1.0,1,1,3.258928571428571,14,14,14.0
H,primerCap,4,56,3,9.776785714285714,0.09999999999999998,0.34,0.25999999999999995,1.307692307692308,2,2,6.517857142857142,14,14,14.0
tim,aggression,22,161,7,7.934782608695652,0.07999999999999996,0.7500000000000001,0.15000000000000002,5.0,6,7,7.934782608695652,14,7,10.5
tim,hypoCaution,22,161,12,13.60248447204969,0.5,6.4,0.6000000000000001,10.666666666666666,5,11,12.468944099378882,14,7,10.5
